V_code,V_name,P_Name,P_code,V_code2
0,Bugoye,Bugoye,0,00
1,Kanyanamigho,Bugoye,0,01
2,Kisamba 1,Bugoye,0,02
3,Kisamba 2,Bugoye,0,03
4,Muramba 1,Bugoye,0,04
5,Muramba 2,Bugoye,0,05
6,Rwakingi 1A,Bugoye,0,06
7,Rwakingi 1B,Bugoye,0,07
0,Ibanda 1,Ibanda,1,10
1,Ibanda 2,Ibanda,1,11
2,Nyakabugha,Ibanda,1,12
3,Kiharara,Ibanda,1,13
4,Mihunga,Ibanda,1,14
5,Mirimbo,Ibanda,1,15
6,Nyakalingijo,Ibanda,1,16
7,Ruboni,Ibanda,1,17
0,Katooke 1,Katooke,2,20
1,Katooke 2,Katooke,2,21
2,Kemihoko,Katooke,2,22
3,Kihindi,Katooke,2,23
4,Kinyangoye,Katooke,2,24
5,Kirongo,Katooke,2,25
6,Mapata,Katooke,2,26
7,Muleheya,Katooke,2,27
8,Nyangonge,Katooke,2,28
0,Bulindiguru,Kibirizi,3,30
1,Ihani,Kibirizi,3,31
2,Kasanzi,Kibirizi,3,32
3,Kibirizi,Kibirizi,3,33
4,Kikokera,Kibirizi,3,34
0,Bunyangoni,Muhambo,4,40
1,Katumba,Muhambo,4,41
2,Maghoma,Muhambo,4,42
3,Muhambo,Muhambo,4,43
4,Nduguthu East,Muhambo,4,44
5,Nduguthu West,Muhambo,4,45
