v_name,v_code,parish_name,parish_code,v_code_unique,village,parish,category,year,population,households,under_5
Bugoye,0,Bugoye,0,00,BUGOYE,BUGOYE,ICCM,2018,1263,117,223.551
Bugoye,0,Bugoye,0,00,BUGOYE,BUGOYE,ICCM,2019,1293.9435,215.65725,229.0279995
Bugoye,0,Bugoye,0,00,BUGOYE,BUGOYE,ICCM,2020,1325.645116,220.9408526,234.6391855
Bugoye,0,Bugoye,0,00,BUGOYE,BUGOYE,ICCM,2021,NA,NA,438
Bulindiguru,0,Kibirizi,3,30,BULINDIGURU,KIBIRIZI,ICCM,2021,NA,NA,541
Bulindiguru,0,Kibirizi,3,30,BULINDIGURU,KIBIRIZI,ICCM,2020,1174.50268,195.7504466,207.8869743
Bulindiguru,0,Kibirizi,3,30,BULINDIGURU,KIBIRIZI,ICCM,2019,1146.4155,191.06925,202.9155435
Bulindiguru,0,Kibirizi,3,30,BULINDIGURU,KIBIRIZI,ICCM,2018,1119,183,198.063
Bunyangoni,0,Muhambo,4,40,BUNYANGONI,MUHAMBO,ICCM,2021,NA,NA,391
Bunyangoni,0,Muhambo,4,40,BUNYANGONI,MUHAMBO,ICCM,2020,1397.017933,232.8363221,247.2721741
Bunyangoni,0,Muhambo,4,40,BUNYANGONI,MUHAMBO,ICCM,2019,1363.6095,227.26825,241.3588815
Bunyangoni,0,Muhambo,4,40,BUNYANGONI,MUHAMBO,ICCM,2018,1331,194,235.587
Ibanda 1,0,Ibanda,1,10,IBANDA I,IBANDA,MCH,2020,3075.328733,512.5547888,544.3331857
Ibanda 1,0,Ibanda,1,10,IBANDA I,IBANDA,MCH,2021,NA,NA,NA
Ibanda 1,0,Ibanda,1,10,IBANDA I,IBANDA,MCH,2019,3001.785,500.2975,531.315945
Ibanda 1,0,Ibanda,1,10,IBANDA I,IBANDA,MCH,2018,2930,521,518.61
Ibanda 2,1,Ibanda,1,11,IBANDA II,IBANDA,MCH,2020,2859.111081,476.5185135,506.0626613
Ibanda 2,1,Ibanda,1,11,IBANDA II,IBANDA,MCH,2018,2724,468,482.148
Ibanda 2,1,Ibanda,1,11,IBANDA II,IBANDA,MCH,2021,NA,NA,NA
Ibanda 2,1,Ibanda,1,11,IBANDA II,IBANDA,MCH,2019,2790.738,465.123,493.960626
Ihani,1,Kibirizi,3,31,IHANI,KIBIRIZI,ICCM,2021,NA,NA,208
Ihani,1,Kibirizi,3,31,IHANI,KIBIRIZI,ICCM,2020,667.545759,111.2576265,118.1555993
Ihani,1,Kibirizi,3,31,IHANI,KIBIRIZI,ICCM,2019,651.582,108.597,115.330014
Ihani,1,Kibirizi,3,31,IHANI,KIBIRIZI,ICCM,2018,636,104,112.572
Kanyanamigho,1,Bugoye,0,01,KANYAMINIGO,BUGOYE,ICCM,2019,1409.712,234.952,249.519024
Kanyanamigho,1,Bugoye,0,01,KANYAMINIGO,BUGOYE,ICCM,2018,1376,235,243.552
Kanyanamigho,1,Bugoye,0,01,KANYAMINIGO,BUGOYE,ICCM,2020,1444.249944,240.708324,255.6322401
Kanyanamigho,1,Bugoye,0,01,KANYAMINIGO,BUGOYE,ICCM,2021,NA,NA,312
Kasanzi,2,Kibirizi,3,32,KASANZI,KIBIRIZI,MCH,2018,534,109,94.518
Kasanzi,2,Kibirizi,3,32,KASANZI,KIBIRIZI,MCH,2019,547.083,91.1805,96.833691
Kasanzi,2,Kibirizi,3,32,KASANZI,KIBIRIZI,MCH,2021,NA,NA,152
Kasanzi,2,Kibirizi,3,32,KASANZI,KIBIRIZI,MCH,2020,560.4865335,93.41442225,99.20611643
Katooke 1,0,Katooke,2,20,KATOOKE I,KATOOKE,ICCM,2021,NA,NA,569
Katooke 1,0,Katooke,2,20,KATOOKE I,KATOOKE,ICCM,2020,1817.907633,302.9846055,321.769651
Katooke 1,0,Katooke,2,20,KATOOKE I,KATOOKE,ICCM,2018,1732,290,306.564
Katooke 1,0,Katooke,2,20,KATOOKE I,KATOOKE,ICCM,2019,1774.434,295.739,314.074818
Katooke 2,1,Katooke,2,21,KATOOKE II,KATOOKE,ICCM,2020,2090.803698,348.467283,370.0722545
Katooke 2,1,Katooke,2,21,KATOOKE II,KATOOKE,ICCM,2021,NA,NA,590
Katooke 2,1,Katooke,2,21,KATOOKE II,KATOOKE,ICCM,2019,2040.804,340.134,361.222308
Katooke 2,1,Katooke,2,21,KATOOKE II,KATOOKE,ICCM,2018,1992,328,352.584
Katumba,1,Muhambo,4,41,KATUMBA,MUHAMBO,MCH,2018,1032,182,182.664
Katumba,1,Muhambo,4,41,KATUMBA,MUHAMBO,MCH,2019,1057.284,176.214,187.139268
Katumba,1,Muhambo,4,41,KATUMBA,MUHAMBO,MCH,2021,NA,NA,677
Katumba,1,Muhambo,4,41,KATUMBA,MUHAMBO,MCH,2020,1083.187458,180.531243,191.7241801
Kemihoko,2,Katooke,2,22,KEMIHOKO,KATOOKE,MCH,2021,NA,NA,246
Kemihoko,2,Katooke,2,22,KEMIHOKO,KATOOKE,MCH,2018,759,125,134.343
Kemihoko,2,Katooke,2,22,KEMIHOKO,KATOOKE,MCH,2019,777.5955,129.59925,137.6344035
Kemihoko,2,Katooke,2,22,KEMIHOKO,KATOOKE,MCH,2020,796.6465898,132.7744316,141.0064464
Kibirizi,3,Kibirizi,3,33,KIBIRIZI,KIBIRIZI,ICCM,2021,NA,NA,239
Kibirizi,3,Kibirizi,3,33,KIBIRIZI,KIBIRIZI,ICCM,2020,1363.430725,227.2384541,241.3272383
Kibirizi,3,Kibirizi,3,33,KIBIRIZI,KIBIRIZI,ICCM,2019,1330.8255,221.80425,235.5561135
Kibirizi,3,Kibirizi,3,33,KIBIRIZI,KIBIRIZI,ICCM,2018,1299,198,229.923
Kiharara,3,Ibanda,1,13,KIHARARA,IBANDA,MCH,2019,1018.353,169.7255,180.248481
Kiharara,3,Ibanda,1,13,KIHARARA,IBANDA,MCH,2018,994,175,175.938
Kiharara,3,Ibanda,1,13,KIHARARA,IBANDA,MCH,2021,NA,NA,458
Kiharara,3,Ibanda,1,13,KIHARARA,IBANDA,MCH,2020,1043.302649,173.8837748,184.6645688
Kihindi,3,Katooke,2,23,KIHINDI,KATOOKE,MCH,2021,NA,NA,410
Kihindi,3,Katooke,2,23,KIHINDI,KATOOKE,MCH,2018,1071,183,189.567
Kihindi,3,Katooke,2,23,KIHINDI,KATOOKE,MCH,2020,1124.121868,187.3536446,198.9695706
Kihindi,3,Katooke,2,23,KIHINDI,KATOOKE,MCH,2019,1097.2395,182.87325,194.2113915
Kikokera,4,Kibirizi,3,34,KIKOKERA,KIBIRIZI,ICCM,2021,NA,NA,96
Kikokera,4,Kibirizi,3,34,KIKOKERA,KIBIRIZI,ICCM,2020,476.5185135,79.41975225,84.34377689
Kikokera,4,Kibirizi,3,34,KIKOKERA,KIBIRIZI,ICCM,2019,465.123,77.5205,82.326771
Kikokera,4,Kibirizi,3,34,KIKOKERA,KIBIRIZI,ICCM,2018,454,99,80.358
Kinyangoye,4,Katooke,2,24,KINYANGOYE,KATOOKE,MCH,2018,1797,291,318.069
Kinyangoye,4,Katooke,2,24,KINYANGOYE,KATOOKE,MCH,2020,1886.131649,314.3552749,333.8453019
Kinyangoye,4,Katooke,2,24,KINYANGOYE,KATOOKE,MCH,2021,NA,NA,428
Kinyangoye,4,Katooke,2,24,KINYANGOYE,KATOOKE,MCH,2019,1841.0265,306.83775,325.8616905
Kirongo,5,Katooke,2,25,KIRONGO,KATOOKE,ICCM,2021,NA,NA,396
Kirongo,5,Katooke,2,25,KIRONGO,KATOOKE,ICCM,2020,1738.138014,289.689669,307.6504285
Kirongo,5,Katooke,2,25,KIRONGO,KATOOKE,ICCM,2019,1696.572,282.762,300.293244
Kirongo,5,Katooke,2,25,KIRONGO,KATOOKE,ICCM,2018,1656,249,293.112
Kisamba 1,2,Bugoye,0,02,KISAMBA I,BUGOYE,ICCM,2020,1395.968333,232.6613888,247.0863949
Kisamba 1,2,Bugoye,0,02,KISAMBA I,BUGOYE,ICCM,2021,NA,NA,625
Kisamba 1,2,Bugoye,0,02,KISAMBA I,BUGOYE,ICCM,2019,1362.585,227.0975,241.177545
Kisamba 1,2,Bugoye,0,02,KISAMBA I,BUGOYE,ICCM,2018,1330,226,235.41
Kisamba 2,3,Bugoye,0,03,KISAMBA II,BUGOYE,ICCM,2020,1521.920363,253.6533938,269.3799042
Kisamba 2,3,Bugoye,0,03,KISAMBA II,BUGOYE,ICCM,2018,1450,240,256.65
Kisamba 2,3,Bugoye,0,03,KISAMBA II,BUGOYE,ICCM,2019,1485.525,247.5875,262.937925
Kisamba 2,3,Bugoye,0,03,KISAMBA II,BUGOYE,ICCM,2021,NA,NA,529
Maghoma,2,Muhambo,4,42,MAGHOMA,MUHAMBO,ICCM,2021,NA,NA,623
Maghoma,2,Muhambo,4,42,MAGHOMA,MUHAMBO,ICCM,2020,1716.096409,286.0160681,303.7490643
Maghoma,2,Muhambo,4,42,MAGHOMA,MUHAMBO,ICCM,2019,1675.0575,279.17625,296.4851775
Maghoma,2,Muhambo,4,42,MAGHOMA,MUHAMBO,ICCM,2018,1635,278,289.395
Mapata,6,Katooke,2,26,MAPATA,KATOOKE,MCH,2021,NA,NA,423
Mapata,6,Katooke,2,26,MAPATA,KATOOKE,MCH,2020,831.283398,138.547233,147.1371614
Mapata,6,Katooke,2,26,MAPATA,KATOOKE,MCH,2018,792,141,140.184
Mapata,6,Katooke,2,26,MAPATA,KATOOKE,MCH,2019,811.404,135.234,143.618508
Mihunga,4,Ibanda,1,14,MIHUNGA,IBANDA,ICCM,2019,1063.431,177.2385,188.227287
Mihunga,4,Ibanda,1,14,MIHUNGA,IBANDA,ICCM,2018,1038,179,183.726
Mihunga,4,Ibanda,1,14,MIHUNGA,IBANDA,ICCM,2021,NA,NA,NA
Mihunga,4,Ibanda,1,14,MIHUNGA,IBANDA,ICCM,2020,1089.48506,181.5808433,192.8388555
Mirimbo,5,Ibanda,1,15,MIRIMBO,IBANDA,ICCM,2020,1178.701081,196.4501801,208.6300913
Mirimbo,5,Ibanda,1,15,MIRIMBO,IBANDA,ICCM,2018,1123,184,198.771
Mirimbo,5,Ibanda,1,15,MIRIMBO,IBANDA,ICCM,2021,NA,NA,557
Mirimbo,5,Ibanda,1,15,MIRIMBO,IBANDA,ICCM,2019,1150.5135,191.75225,203.6408895
Muhambo,3,Muhambo,4,43,MUHAMBO,MUHAMBO,MCH,2018,1471,239,260.367
Muhambo,3,Muhambo,4,43,MUHAMBO,MUHAMBO,MCH,2019,1507.0395,251.17325,266.7459915
Muhambo,3,Muhambo,4,43,MUHAMBO,MUHAMBO,MCH,2020,1543.961968,257.3269946,273.2812683
Muhambo,3,Muhambo,4,43,MUHAMBO,MUHAMBO,MCH,2021,NA,NA,498
Muleheya,7,Katooke,2,27,MULEHE,KATOOKE,MCH,2020,1468.39075,244.7317916,259.9051627
Muleheya,7,Katooke,2,27,MULEHE,KATOOKE,MCH,2018,1399,249,247.623
Muleheya,7,Katooke,2,27,MULEHE,KATOOKE,MCH,2019,1433.2755,238.87925,253.6897635
Muleheya,7,Katooke,2,27,MULEHE,KATOOKE,MCH,2021,NA,NA,431
Muramba 1,4,Bugoye,0,04,MURAMBA I,BUGOYE,ICCM,2019,1263.2085,210.53475,223.5879045
Muramba 1,4,Bugoye,0,04,MURAMBA I,BUGOYE,ICCM,2018,1233,196,218.241
Muramba 1,4,Bugoye,0,04,MURAMBA I,BUGOYE,ICCM,2020,1294.157108,215.6928514,229.0658082
Muramba 1,4,Bugoye,0,04,MURAMBA I,BUGOYE,ICCM,2021,NA,NA,446
Muramba 2,5,Bugoye,0,05,MURAMBA II,BUGOYE,MCH,2021,NA,NA,561
Muramba 2,5,Bugoye,0,05,MURAMBA II,BUGOYE,MCH,2020,1141.965072,190.327512,202.1278177
Muramba 2,5,Bugoye,0,05,MURAMBA II,BUGOYE,MCH,2018,1088,197,192.576
Muramba 2,5,Bugoye,0,05,MURAMBA II,BUGOYE,MCH,2019,1114.656,185.776,197.294112
Nduguthu East,4,Muhambo,4,44,NDUGUTU EAST,MUHAMBO,ICCM,2021,NA,NA,346
Nduguthu East,4,Muhambo,4,44,NDUGUTU EAST,MUHAMBO,ICCM,2020,1032.806646,172.134441,182.8067763
Nduguthu East,4,Muhambo,4,44,NDUGUTU EAST,MUHAMBO,ICCM,2019,1008.108,168.018,178.435116
Nduguthu East,4,Muhambo,4,44,NDUGUTU EAST,MUHAMBO,ICCM,2018,984,176,174.168
Nduguthu West,5,Muhambo,4,45,NDUGUTU WEST,MUHAMBO,ICCM,2021,NA,NA,345
Nduguthu West,5,Muhambo,4,45,NDUGUTU WEST,MUHAMBO,ICCM,2020,1063.245053,177.2075089,188.1943744
Nduguthu West,5,Muhambo,4,45,NDUGUTU WEST,MUHAMBO,ICCM,2019,1037.8185,172.96975,183.6938745
Nduguthu West,5,Muhambo,4,45,NDUGUTU WEST,MUHAMBO,ICCM,2018,1013,174,179.301
Nyakabugha,2,Ibanda,1,12,NYAKABUGHA,IBANDA,ICCM,2019,1899.423,316.5705,336.197871
Nyakabugha,2,Ibanda,1,12,NYAKABUGHA,IBANDA,ICCM,2020,1945.958864,324.3264773,344.4347188
Nyakabugha,2,Ibanda,1,12,NYAKABUGHA,IBANDA,ICCM,2021,NA,NA,NA
Nyakabugha,2,Ibanda,1,12,NYAKABUGHA,IBANDA,ICCM,2018,1854,292,328.158
Nyangonge,8,Katooke,2,28,NYANGONGE,KATOOKE,ICCM,2020,1886.131649,314.3552749,333.8453019
Nyangonge,8,Katooke,2,28,NYANGONGE,KATOOKE,ICCM,2021,NA,NA,622
Nyangonge,8,Katooke,2,28,NYANGONGE,KATOOKE,ICCM,2019,1841.0265,306.83775,325.8616905
Nyangonge,8,Katooke,2,28,NYANGONGE,KATOOKE,ICCM,2018,1797,291,318.069
Ruboni,7,Ibanda,1,17,RUBONI,IBANDA,ICCM,2020,1344.53792,224.0896534,237.9832119
Ruboni,7,Ibanda,1,17,RUBONI,IBANDA,ICCM,2019,1312.3845,218.73075,232.2920565
Ruboni,7,Ibanda,1,17,RUBONI,IBANDA,ICCM,2021,NA,NA,NA
Ruboni,7,Ibanda,1,17,RUBONI,IBANDA,ICCM,2018,1281,213,226.737
Rwakingi 1A,6,Bugoye,0,06,RWAKINGI 1A,BUGOYE,MCH,2021,NA,NA,229
Rwakingi 1A,6,Bugoye,0,06,RWAKINGI 1A,BUGOYE,MCH,2020,793.497789,132.2496315,140.4491087
Rwakingi 1A,6,Bugoye,0,06,RWAKINGI 1A,BUGOYE,MCH,2018,756,117,133.812
Rwakingi 1A,6,Bugoye,0,06,RWAKINGI 1A,BUGOYE,MCH,2019,774.522,129.087,137.090394
Rwakingi 1B,7,Bugoye,0,07,RWAKINGI IB,BUGOYE,ICCM,2018,1181,207,209.037
Rwakingi 1B,7,Bugoye,0,07,RWAKINGI IB,BUGOYE,ICCM,2020,1239.577895,206.5963159,219.4052875
Rwakingi 1B,7,Bugoye,0,07,RWAKINGI IB,BUGOYE,ICCM,2021,NA,NA,316
Rwakingi 1B,7,Bugoye,0,07,RWAKINGI IB,BUGOYE,ICCM,2019,1209.9345,201.65575,214.1584065
